TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Mapped from,3028507,Deprecated Triglyceride [Mass/volume] in fluid,13899-0,Lab Test,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Mapped from,3000637,Triglyceride [Mass/volume] in Body fluid,12228-3,Lab Test,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Maps to,3000637,Triglyceride [Mass/volume] in Body fluid,12228-3,Lab Test,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Concept replaces,3004911,Deprecated Triglyceride [Mass/volume] in Body fluid,12950-2,Lab Test,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Has property,1029650,Mass Concentration,LP6827-2,LOINC Property,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Has component,40772572,Triglyceride,LP15275-8,LOINC Component,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Has system,1030397,Body fluid,LP7238-1,LOINC System,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Mapped from,3004911,Deprecated Triglyceride [Mass/volume] in Body fluid,12950-2,Lab Test,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3000637,12228-3,Triglyceride [Mass/volume] in Body fluid,LOINC,Concept replaces,3028507,Deprecated Triglyceride [Mass/volume] in fluid,13899-0,Lab Test,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Has component,40772572,Triglyceride,LP15275-8,LOINC Component,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Maps to,3007943,Triglyceride [Mass/volume] in Serum or Plasma by calculation,12951-0,Lab Test,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Has method,1028907,Calculated,LP6165-7,LOINC Method,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Mapped from,3007943,Triglyceride [Mass/volume] in Serum or Plasma by calculation,12951-0,Lab Test,LOINC
3007943,12951-0,Triglyceride [Mass/volume] in Serum or Plasma by calculation,LOINC,Has property,1029650,Mass Concentration,LP6827-2,LOINC Property,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Has property,1029650,Mass Concentration,LP6827-2,LOINC Property,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Mapped from,3009192,Triglyceride [Mass/volume] in Semen,14448-5,Lab Test,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Has component,40772572,Triglyceride,LP15275-8,LOINC Component,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Maps to,3009192,Triglyceride [Mass/volume] in Semen,14448-5,Lab Test,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Has system,1033439,Semen,LP7589-7,LOINC System,LOINC
3009192,14448-5,Triglyceride [Mass/volume] in Semen,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Has property,1015176,Presence or Threshold,LP217195-9,LOINC Property,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Has component,40772572,Triglyceride,LP15275-8,LOINC Component,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Maps to,3012391,Triglyceride [Presence] in Serum or Plasma,28554-4,Lab Test,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Mapped from,3012391,Triglyceride [Presence] in Serum or Plasma,28554-4,Lab Test,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Has scale type,1033749,Ord,LP7751-3,LOINC Scale,LOINC
3012391,28554-4,Triglyceride [Presence] in Serum or Plasma,LOINC,Has system,1033306,Serum or Plasma,LP7576-4,LOINC System,LOINC
3012789,22731-4,Triglyceride [Moles/volume] in Specimen,LOINC,Has system,21496667,XXX,LP7735-6,LOINC System,LOINC
3012789,22731-4,Triglyceride [Moles/volume] in Specimen,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
3012789,22731-4,Triglyceride [Moles/volume] in Specimen,LOINC,Has component,40772572,Triglyceride,LP15275-8,LOINC Component,LOINC
