SOURCE_CODE	SOURCE_VOCABULARY_ID	SOURCE_DOMAIN_ID	TARGET_CONCEPT_ID	TARGET_CONCEPT_NAME	TARGET_CONCEPT_CODE	TARGET_CONCEPT_CLASS_ID	TARGET_CONCEPT_VOCAB_ID
27113001	SNOMED	Measurement	37205098	Self reported body weight	784399000	Observable Entity	SNOMED
27113001	SNOMED	Measurement	42536495	Current body weight	735395000	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4268280	Baseline weight	400967004	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4093981	Previous well-weight	248351003	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37160426	Dosing body weight	1162388008	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37164397	Self reported peak body weight	1230277003	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4099154	Body weight	27113001	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4310154	Body weight with shoes	424927000	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37160447	Pre-dialysis body weight	1162421003	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37160427	Self reported pre-pregnancy body weight	1162389000	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4178502	Body weight measure	363808001	Observable Entity	SNOMED
27113001	SNOMED	Measurement	40480593	Estimated weight using Broselow Luten pediatric weight estimation	443245006	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37160443	Post-dialysis body weight	1162420002	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37160439	Pre-amputation measured body weight	1162416001	Observable Entity	SNOMED
27113001	SNOMED	Measurement	40484200	Dry body weight	445541000	Observable Entity	SNOMED
27113001	SNOMED	Measurement	37160437	Pre-amputation estimated body weight	1162414003	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4175354	Body weight without shoes	425024002	Observable Entity	SNOMED
27113001	SNOMED	Measurement	4264825	Birth weight	364589006	Observable Entity	SNOMED
