TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
4093981,248351003,Previous well-weight,SNOMED,Mapped from,4093981,Previous well-weight,248351003,Observable Entity,SNOMED
4093981,248351003,Previous well-weight,SNOMED,Has time aspect,4048380,Single point in time,123029007,Qualifier Value,SNOMED
4093981,248351003,Previous well-weight,SNOMED,Has property,4041088,Mass,118538004,Qualifier Value,SNOMED
4093981,248351003,Previous well-weight,SNOMED,Inheres in,4242541,Entire body as a whole,38266002,Body Structure,SNOMED
4093981,248351003,Previous well-weight,SNOMED,Maps to,4093981,Previous well-weight,248351003,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,4310154,Body weight with shoes,424927000,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Mapped from,40452545,Body weight,248345008,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Interprets of,763937,Normal weight in childhood,448781000124101,Clinical Finding,SNOMED
4099154,27113001,Body weight,SNOMED,Has time aspect,4048380,Single point in time,123029007,Qualifier Value,SNOMED
4099154,27113001,Body weight,SNOMED,Interprets of,4060598,O/E - weight within 10% ideal,162766004,Clinical Finding,SNOMED
4099154,27113001,Body weight,SNOMED,Interprets of,4310995,Abnormal weight in relation to growth / age standard,422503008,Clinical Finding,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,40484200,Dry body weight,445541000,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,37160426,Dosing body weight,1162388008,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,37160443,Post-dialysis body weight,1162420002,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,37160447,Pre-dialysis body weight,1162421003,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Mapped from,4099154,Body weight,27113001,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Maps to,4099154,Body weight,27113001,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,42536495,Current body weight,735395000,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,40480593,Estimated weight using Broselow Luten pediatric weight estimation,443245006,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Interprets of,42539423,Weight abnormal for age,734435008,Clinical Finding,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,4268280,Baseline weight,400967004,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Concept same_as from,40452545,Body weight,248345008,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,4264825,Birth weight,364589006,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Interprets of,4183890,Normal weight,43664005,Clinical Finding,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,37205098,Self reported body weight,784399000,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,4093981,Previous well-weight,248351003,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,4175354,Body weight without shoes,425024002,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,37160437,Pre-amputation estimated body weight,1162414003,Observable Entity,SNOMED
4099154,27113001,Body weight,SNOMED,Has property,4041088,Mass,118538004,Qualifier Value,SNOMED
4099154,27113001,Body weight,SNOMED,Inheres in,4242541,Entire body as a whole,38266002,Body Structure,SNOMED
4099154,27113001,Body weight,SNOMED,Interprets of,4330994,Abnormal weight,22495007,Clinical Finding,SNOMED
4099154,27113001,Body weight,SNOMED,Subsumes,4178502,Body weight measure,363808001,Observable Entity,SNOMED
4175354,425024002,Body weight without shoes,SNOMED,Has property,4041088,Mass,118538004,Qualifier Value,SNOMED
4175354,425024002,Body weight without shoes,SNOMED,Inheres in,4242541,Entire body as a whole,38266002,Body Structure,SNOMED
4175354,425024002,Body weight without shoes,SNOMED,Maps to,4175354,Body weight without shoes,425024002,Observable Entity,SNOMED
4175354,425024002,Body weight without shoes,SNOMED,Mapped from,4175354,Body weight without shoes,425024002,Observable Entity,SNOMED
4175354,425024002,Body weight without shoes,SNOMED,Has time aspect,4048380,Single point in time,123029007,Qualifier Value,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,36714072,Syndromic X-linked intellectual disability type 7,719160009,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,438731,Localized adiposity,270486005,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,36674490,Intellectual disability, obesity, prognathism, eye and skin anomalies syndrome,774102003,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,4171972,Adult-onset obesity,296526005,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,36713437,Choroideremia with deafness and obesity syndrome,717761005,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,36678790,Colobomatous microphthalmia, obesity, hypogenitalism, intellectual disability syndrome,776204008,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,4189665,Obesity by fat distribution pattern,414920002,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,37110069,MOMO syndrome,724137002,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,42539192,Severe obesity complicating pregnancy,15750121000119108,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,37164247,MAGEL2-related Prader-Willi-like syndrome,1229946007,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,4163032,Hyperplastic-hypertrophic obesity,293481008,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,45757112,Obesity in mother complicating childbirth,10750551000119100,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,4177337,Hypogonadal obesity,5036006,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,45763687,Congenital leptin deficiency,700150001,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,44782444,Involuntary weight loss,699205002,Clinical Finding,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,37164244,SIM1-related Prader-Willi-like syndrome,1229943004,Disorder,SNOMED
4178502,363808001,Body weight measure,SNOMED,Interprets of,4005991,Hyperinsulinar obesity,111036000,Disorder,SNOMED
