CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
4093981,Previous well-weight,Observable Entity,SNOMED
4048380,Single point in time,Qualifier Value,SNOMED
4041088,Mass,Qualifier Value,SNOMED
4242541,Entire body as a whole,Body Structure,SNOMED
4310154,Body weight with shoes,Observable Entity,SNOMED
40452545,Body weight,Observable Entity,SNOMED
763937,Normal weight in childhood,Clinical Finding,SNOMED
4060598,O/E - weight within 10% ideal,Clinical Finding,SNOMED
4310995,Abnormal weight in relation to growth / age standard,Clinical Finding,SNOMED
40484200,Dry body weight,Observable Entity,SNOMED
37160426,Dosing body weight,Observable Entity,SNOMED
37160443,Post-dialysis body weight,Observable Entity,SNOMED
37160447,Pre-dialysis body weight,Observable Entity,SNOMED
4099154,Body weight,Observable Entity,SNOMED
42536495,Current body weight,Observable Entity,SNOMED
40480593,Estimated weight using Broselow Luten pediatric weight estimation,Observable Entity,SNOMED
42539423,Weight abnormal for age,Clinical Finding,SNOMED
4268280,Baseline weight,Observable Entity,SNOMED
4264825,Birth weight,Observable Entity,SNOMED
4183890,Normal weight,Clinical Finding,SNOMED
37205098,Self reported body weight,Observable Entity,SNOMED
4175354,Body weight without shoes,Observable Entity,SNOMED
37160437,Pre-amputation estimated body weight,Observable Entity,SNOMED
4330994,Abnormal weight,Clinical Finding,SNOMED
4178502,Body weight measure,Observable Entity,SNOMED
36714072,Syndromic X-linked intellectual disability type 7,Disorder,SNOMED
438731,Localized adiposity,Disorder,SNOMED
36674490,Intellectual disability, obesity, prognathism, eye and skin anomalies syndrome,Disorder,SNOMED
4171972,Adult-onset obesity,Disorder,SNOMED
36713437,Choroideremia with deafness and obesity syndrome,Disorder,SNOMED
36678790,Colobomatous microphthalmia, obesity, hypogenitalism, intellectual disability syndrome,Disorder,SNOMED
4189665,Obesity by fat distribution pattern,Disorder,SNOMED
37110069,MOMO syndrome,Disorder,SNOMED
42539192,Severe obesity complicating pregnancy,Disorder,SNOMED
37164247,MAGEL2-related Prader-Willi-like syndrome,Disorder,SNOMED
4163032,Hyperplastic-hypertrophic obesity,Disorder,SNOMED
45757112,Obesity in mother complicating childbirth,Disorder,SNOMED
4177337,Hypogonadal obesity,Disorder,SNOMED
45763687,Congenital leptin deficiency,Disorder,SNOMED
44782444,Involuntary weight loss,Clinical Finding,SNOMED
37164244,SIM1-related Prader-Willi-like syndrome,Disorder,SNOMED
4005991,Hyperinsulinar obesity,Disorder,SNOMED
4171147,Hypertrophic obesity,Disorder,SNOMED
4183240,Obesity of endocrine origin,Disorder,SNOMED
4146858,O/E - weight greater than 20% over ideal,Clinical Finding,SNOMED
434005,Morbid obesity,Disorder,SNOMED
45771307,Proopiomelanocortin deficiency syndrome,Disorder,SNOMED
36676689,Rapid-onset childhood obesity, hypothalamic dysfunction, hypoventilation, autonomic dysregulation syndrome,Disorder,SNOMED
4212443,Obesity by adipocyte growth pattern,Disorder,SNOMED
4060333,O/E - weight,Clinical Finding,SNOMED
4270189,Alstrom syndrome,Disorder,SNOMED
37160439,Pre-amputation measured body weight,Observable Entity,SNOMED
4211019,Steatopygia,Disorder,SNOMED
