TARGET_CONCEPT_ID,TARGET_CONCEPT_CODE,TARGET_CONCEPT_NAME,TARGET_VOCAB_ID,RELATIONSHIP_ID,CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
2108451,38215,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,Mapped from,2108451,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,38215,CPT4,CPT4
2108451,38215,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,CPT4 - SNOMED cat,4129835,Buffy coat smear evaluation,2373006,Procedure,SNOMED
2108451,38215,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,Maps to,2108451,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,38215,CPT4,CPT4
2108451,38215,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,CPT4 - SNOMED eq,4016240,Bone marrow processing to eliminate cells,104137002,Procedure,SNOMED
2108451,38215,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,CPT4 - SNOMED eq,4141733,Hematology procedure,33468001,Procedure,SNOMED
2108451,38215,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,CPT4 - SNOMED cat,4022016,Mononuclear cell count,116710004,Procedure,SNOMED
2721185,S3630,Eosinophil count, blood, direct,HCPCS,Maps to,2721185,Eosinophil count, blood, direct,S3630,HCPCS,HCPCS
2721185,S3630,Eosinophil count, blood, direct,HCPCS,Mapped from,2721185,Eosinophil count, blood, direct,S3630,HCPCS,HCPCS
3001552,30464-2,Prolymphocytes [#/volume] in Blood,LOINC,Has system,1029919,Blood,LP7057-5,LOINC System,LOINC
3001552,30464-2,Prolymphocytes [#/volume] in Blood,LOINC,Has component,40792411,Prolymphocytes,LP15082-8,LOINC Component,LOINC
3001552,30464-2,Prolymphocytes [#/volume] in Blood,LOINC,Maps to,3001552,Prolymphocytes [#/volume] in Blood,30464-2,Lab Test,LOINC
3001552,30464-2,Prolymphocytes [#/volume] in Blood,LOINC,Has time aspect,1029816,Point in time (spot),LP6960-1,LOINC Time,LOINC
3001552,30464-2,Prolymphocytes [#/volume] in Blood,LOINC,Has scale type,1033751,Qn,LP7753-9,LOINC Scale,LOINC
