CONCEPT_ID,CONCEPT_NAME,CONCEPT_CLASS_ID,CONCEPT_VOCAB_ID
4141733,Hematology procedure,Procedure,SNOMED
4022016,Mononuclear cell count,Procedure,SNOMED
2108451,Transplant preparation of hematopoietic progenitor cells; cell concentration in plasma, mononuclear, or buffy coat layer,CPT4,CPT4
4129835,Buffy coat smear evaluation,Procedure,SNOMED
4016240,Bone marrow processing to eliminate cells,Procedure,SNOMED
2721185,Eosinophil count, blood, direct,HCPCS,HCPCS
3001552,Prolymphocytes [#/volume] in Blood,Lab Test,LOINC
40792411,Prolymphocytes,LOINC Component,LOINC
1029919,Blood,LOINC System,LOINC
1033751,Qn,LOINC Scale,LOINC
1029816,Point in time (spot),LOINC Time,LOINC
1029672,Number Concentration,LOINC Property,LOINC
1033439,Semen,LOINC System,LOINC
3001687,Leukocytes [#/volume] in Semen by Automated count,Lab Test,LOINC
1028881,Automated count,LOINC Method,LOINC
40782521,Leukocytes,LOINC Component,LOINC
1030067,Cerebral spinal fluid,LOINC System,LOINC
3002125,Leukocytes [#/volume] in Cerebral spinal fluid by Automated count,Lab Test,LOINC
3012392,Metamyelocytes [#/volume] in Blood by Manual count,Lab Test,LOINC
40779190,Metamyelocytes,LOINC Component,LOINC
1029133,Manual count,LOINC Method,LOINC
40792738,Segmented neutrophils,LOINC Component,LOINC
3015586,Segmented neutrophils [#/volume] in Blood,Lab Test,LOINC
3017128,Prolymphocytes [#/volume] in Blood by Manual count,Lab Test,LOINC
40779191,Myelocytes,LOINC Component,LOINC
3017680,Myelocytes [#/volume] in Blood by Manual count,Lab Test,LOINC
3021120,Myelocytes [#/volume] in Blood,Lab Test,LOINC
3024507,Metamyelocytes [#/volume] in Blood,Lab Test,LOINC
3027270,Segmented neutrophils [#/volume] in Blood by Manual count,Lab Test,LOINC
3033822,Leukocytes [#/volume] in Peritoneal fluid by Automated count,Lab Test,LOINC
1032584,Peritoneal fluid,LOINC System,LOINC
1032362,Pleural fluid,LOINC System,LOINC
3037296,Leukocytes [#/volume] in Pleural fluid by Automated count,Lab Test,LOINC
3038189,Leukocytes [#/volume] in Synovial fluid by Automated count,Lab Test,LOINC
1033459,Synovial fluid,LOINC System,LOINC
3039014,Metamyelocytes [Presence] in Blood,Lab Test,LOINC
1033749,Ord,LOINC Scale,LOINC
1015176,Presence or Threshold,LOINC Property,LOINC
4044177,Measurement - action,Qualifier Value,SNOMED
